mainFrameColor,234,252,5
jButton1,30,227,50
jButton2,70,227,198
jButton3,240,110,126
jButton4,72,221,108
jButton5,160,206,250
jButton6,208,45,7
jButton7,88,136,136
jButton8,241,57,64
jButton9,12,125,26
jButton10,139,164,150
jButton11,230,87,190
jButton12,220,241,79
jButton13,177,176,55
jButton14,195,157,129
jButton15,117,18,23
jButton16,95,200,45
jButton17,184,33,106
jButton18,34,194,103
jTextField1,100,181,29
jTextField1TextColor,70,68,63
jLabel1,227,170,250
jPanel1,189,113,146
jPanel2,204,185,53
jPanel3,61,62,139
jPanel4,176,144,44
jPanel5,125,30,41
