mainFrameColor,160,108,250
jButton1,208,152,66
jButton2,187,34,156
jButton3,174,16,245
jButton4,187,66,80
jButton5,30,106,236
jButton6,217,55,219
jButton7,171,125,126
jButton8,50,79,120
jButton9,1,6,5
jButton10,126,101,216
jButton11,204,43,3
jButton12,161,232,235
jButton13,252,189,82
jButton14,41,249,111
jButton15,50,193,208
jButton16,102,230,192
jButton17,134,78,243
jButton18,46,155,232
jTextField1,35,206,21
jTextField1TextColor,207,26,10
jLabel1,140,46,91
jPanel1,92,152,157
jPanel2,240,219,63
jPanel3,232,98,112
jPanel4,226,59,227
jPanel5,18,71,158
